问题,关键字,相似问,答案
为什么调动流程审批完成之后数据未同步到coreHR,,调动流程审批完成之后数据未同步到coreHR，是什么原因,"<font color=""orange"">**亲爱的同学好~**</font>

部门生效日/管理职级生效日晚于调动生效日，**需调整调动生效时间到部门生效日/管理职级生效日之后**，数据才会同步到coreHR"
Windows图片查看软件下载,"查看图片,查看gif,图片软件",图片查看软件|gif图片查看软件|png图片查看软件|jpg图片查看软件|图片查看软件下载链接|图片查看软件下载连接|图片查看软件下载|图片查看|查看gif图片|查看png图片|看jpg图片|轻量级图片查看|轻量级查看图片|windows系统查看图片|查看图片|Windows图片查看软件,"<font color=""orange"">**亲爱的同学好~**</font>

Windows用户请访问[图片查看软件](http://www.bandisoft.com/honeyview/)，进行下载、安装即可。"
为何取消小红花任务,"小红花,取消小红花,没有小红花,小红花任务",外包员工有小红花吗|您好，请问实习生是没有小红花任务吗~|为什么没有小红花|为什么我没有小红花任务|小红花政策变动|小红花政策调整|小红花政策变更|小红花任务关闭|小红花仅对部分员工开放|小红花权限|小红花任务对哪些员工开放|为什么没有小红花任务了,"<font color=""orange"">**亲爱的同学好~**</font>
可以参考一下文档[小红花介绍及常见问题](https://docs.corp.kuaishou.com/d/home/fcACTq5A0ds2qHTJp5tOAxh-L)。
2022 年 1 月 1 日起，小红花预算已由部门预算自行决定。目前已关闭部门的小红花任务通道，如有疑问可咨询部门财务 BP。
**Kimi 温馨提示**：
如需查询部门财务 BP 可以按照以下路径联系财务的人工同学咨询：
Kim - 搜索「FSSC财务共享中心咨询」应用号反馈咨询。"
会议室提前多久签到,"会议室规则,会议室签到,签到规则",我们进来就投屏了，为什么还是没签到呀|会议室释放|会议室的签到时间是多少|会议室签到规则|没签到的会议室什么时候给我释放,"<font color=""orange"">**亲爱的同学好~**</font>
**会议室签到**：会议开始前 5 分钟和会议开始后 10 分钟内扫码签到；
**会议室签出**：组织者、参会人如提前结束会议可以 Kim 扫描会议室二维码签出，该会议室将被提前释放；
**会议室释放**：会议开始 10 分钟内，若组织者、参会人未签到，此会议室将自动释放，所有同学可以在线预定。"
Could not find the selected project in the reactor,,Could not find the selected project in the reactor,"**问题示例：**
[ERROR] [ERROR] Could not find the selected project in the reactor: kuaishou-ad-market-platform-api @
2021-11-24 10:33:14.000 [WARNING] MBTP: executionResultEventHandler: [org.apache.maven.MavenExecutionException: Could not find the selected project in the reactor: kuaishou-ad-market-platform-api]
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671637722586253.png)
**问题原因：**
maven编译构建时，没有找到你要构建的模块
**解决方案：**
你在pom的modules里，没有定义当前模块，排查父pom中，是否有定义此module
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671637722755449.png)
如果加了-P定义激活具体profile，则也需要在profile中定义此module
![3.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/332e706e671637722782369.png)"
离职后文档会消失吗,离职文档,老师好，今天账号切换，原账号wb_zhangruibin名下的在线文档都没有了，这个这么迁移过来呢|doc交接|离职交接前，文档和资料等数据，需要进行显示的交接吗？还是自动变更的？|员工离职，我的云盘中的文档怎么做移交呢,"<font color=""orange"">**亲爱的同学好~**</font>
如果是 21 年 11 月 12 日之前离职的，可以参考此文档 [离职 Docs 权限转移](https://docs.corp.kuaishou.com/d/home/fcAAWRs16DNndrKZE_MbTgk7R)；
如果是 21 年 11 月 12 日之后离职的：
1.离职后文档权限自动交接给 leader；
2.如未成功交接，和 leader 确认后研发手动交接。"
小邮局地址和营业时间,"小邮局,快递,寄件,邮寄",邮局可以退货吗|小邮局还开门么|邮局工作时间|私人快递可以寄到元中心邮局吗|元中心顺丰的电话有吗|小邮局地址|顺丰在哪儿|小邮局几点开门|小邮局几点关门|小邮局在哪儿,"<font color=""orange"">**亲爱的同学好~**</font>
对公快递的寄件及到付件签收可通过 Kim 应用 - 快乐生活 - 快手邮局 或 [点击这里](https://xz.corp.kuaishou.com/post-office-h5/home) 操作；使用指南可参考此文档 [对公快递服务指南](https://docs.corp.kuaishou.com/file/fcACfPs2lF6Um4R7hGBi2m__Y)；
私人快递请通过各快递公司官方 APP 或小程序下单，不允许使用内部对公快递系统收发私人快递。
\
北京职场小邮局工作时间：工作日 9:30-20:00；
小邮局地址：
**元中心**：北京市海淀区西二旗中路29号元中心T3-1层小邮局、T10-1层小邮局；
**万家灯火**：北京市海淀区唐家岭路188号万家灯火大厦B区1层北出口旁(七鲜超市对面)；
❤温馨提示：请在填写收件地址时注明小邮局楼栋号。
\
如有其他问题，请联系 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-613907-PifPLAfEm6XdSwQAohkYXzxR8gg-ksssogray) 反馈咨询。"
Kim 提示「网络不稳定 点击重试」或「获取数据失败 请重新登录」,"网络不稳定,获取数据失败",kim链接不到网络|我的kim电脑端显示获取数据出错，请问是什么情况|Kim 提示「获取数据失败 请重新登录」|Kim 提示「网络不稳定 点击重试」,"<font color=""orange"">**亲爱的同学好~**</font>
Kim 出现此类报错，请先排查是否是网络问题：
保持 Kim 打开 - 点击上方功能栏「帮助」- 网络检测：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702978646642.png)
\
如果网络连接正常请尝试以下操作：
1.账号退出重新登录；
2.重置数据，保持 Kim 打开，点击上方功能栏「帮助」- 重置数据：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671702969942934.png)"
内推可以以海报的形式分享吗,"内推海报,内推岗位",内推是否可以以海报的形式分享出呢,"<font color=""orange"">**亲爱的同学好~**</font>
内推岗位**可以通过二维码或复制内推链接分享哦**。"
打印机驱动下载,"打印机驱动,驱动下载",我们电脑能彩印吗|我的电脑需要安装打印驱动|Windows打印驱动|Mac打印驱动下载链接|Windows打印驱动下载链接|Mac打印驱动下载连接|Windows打印驱动下载连接|如何下载打印机驱动|打印机驱动下载链接|打印机驱动下载连接|打印机如何安装驱动|打印机怎么装驱动|打印要安装驱动吗|打印要安装驱动么|打印没驱动|打印机驱动下载|打印机驱动|下载打印机驱动,"<font color=""orange"">**亲爱的同学好~**</font>
请访问[打印机驱动](https://ee-clodis.corp.kuaishou.com/api/open/v1/download/public?shareKey=33BpCiE3N5Gyo1Bm4V7Ymq)进行下载，
压缩包内包含Windows和Mac系统的全部打印机驱动，其中：
- “快手云打印_printer.corp.kuaishou.com_8119_20191228140147.exe”文件为Windows版东芝【大型立式彩色打印机】驱动；
- “快手云打印_LM_printer.corp.kuaishou.com_8119_20200413181012”文件为Windows版利盟【小型台式黑白打印机】驱动；
- “快手云打印_printer.corp.kuaishou.com_8119_20210804153013”文件为Mac版东芝【大型立式彩色打印机】驱动；
- “快手云打印_LM_printer.corp.kuaishou.com_8119_20200330103657”文件为Mac版利盟【小型台式黑白打印机】驱动；
\
请根据对应版本进行安装即可。
安装完成后：
- “东芝大型立式彩色打印机”请选择“快手云打印_PS”选项进行打印；
- “利盟小型台式黑白打印机”请选择“快手云打印_LM_PS”选项进行打印。"
珠宝文玩行业对接人是谁,"珠宝,文玩",珠宝文玩行业对接人,"<font color=""orange"">**亲爱的同学好~**</font>
珠宝文玩行业对接人<@=username(yangweisong)=>。"
Kim 群如何修改成员昵称,"成员昵称,群昵称",请问怎么修改群里自己的名字,"<font color=""orange"">**亲爱的同学好~**</font>
Kim 群中的名字默认是 Kim 的姓名，无法直接修改。如需更改 Kim 账号的名字，回复「666」转接人工客服。"
如何隐藏引用的文档,"引用关系,引用",不显示被哪些文档引用|不显示引用的文档|关闭引用文档的显示,"<font color=""orange"">**亲爱的同学好~**</font>
如何需要关闭在线文档中的引用关系，可以点击文档右上角「...」，关闭「引用关系」选项：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671700467386480.png)"
堡垒机登陆方式,"堡垒机,堡垒机登陆,堡垒机使用",堡垒机登陆|有堡垒机如何登陆的文档吗|堡垒机登陆指南|我需要登陆堡垒机怎么登陆呢|堡垒机登陆方法|怎么登陆堡垒机|如何登陆堡垒机|堡垒机怎么登陆|堡垒机如何登陆|堡垒机登录|您好 我想登陆堡垒机 有手册么,"<font color=""orange"">**亲爱的同学好~**</font>

堡垒机登录请查看该文档：[堡垒机登陆方式](https://it.corp.kuaishou.com/webdoc/view/Pub2c9d84cd70ed579a01712a653f9154ca.html)"
萝卜面试问题对接群,轻雀面试,萝卜面试的对接群|青雀面试系统出问题了|想咨询一下轻雀面试相关的问题 一共是两位面试官，使用会议链接 都能开麦说话嘛,"<font color=""orange"">**亲爱的同学好~**</font>
萝卜面试的相关问题可以参考此文档 [萝卜面试使用手册](https://docs.corp.kuaishou.com/k/home/VMxqU0JfKexA/fcAAjE4FPokvd6aBtSQW0169t)；
关于萝卜面试问题可以扫码进群反馈咨询：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671723455260813.png)"
如何紧急关闭 Kim 账号权限,"关闭权限,提前关闭",发我一个kim账号紧急关闭的流程|紧急关闭工卡权限|紧急关闭Docs权限|紧急关闭AP权限|紧急关闭邮箱权限|紧急关闭KIM权限,"<font color=""orange"">**亲爱的同学好~**</font>
需要紧急（提前）关闭 Kim、邮箱、AP、Docs、工卡权限可以提交 [此流程](https://bpm.corp.kuaishou.com/approval/v2/agile-process/create/agile_jjtqgbkimyxapqx?fb_key=949396171c9c489e9093fbbf200872c6&type=4) 进行申请。
注意：权限关闭后如需重新开通，流程及过程极其复杂，请完全确认后再发起此流程。"
资产设备回购范围,,可以购买显示器吗,"<font color=""orange"">**亲爱的同学好~**</font>
目前可回购的设备是笔记本电脑、主机、一体机。"
为什么热榜没出现搜索词呢,"热搜榜,搜索词",投放的搜索热榜第6位线上为什么没有展示,"<font color=""orange"">**亲爱的同学好~**</font>
step1：检查订单是否正常上线，
step2：和同组同学多刷几次，如果线上有多个同时段热榜，会按照策略先后展示，需要多刷刷。"
借用中的资产如何回购,,借用状态可以回购吗|我名下帮其他同学挂的资产，满4年了显示可以回购，我可以申请吗？,"<font color=""orange"">**亲爱的同学好~**</font>
目前只有本人正在使用的设备才可以申请回购，替他人代领、替他人挂靠的资产均无法申请；之外，借用的资产、备机也不可以申请。"
如何获取快币,"快币,获取快币",怎样获取快币|怎么获取快币,"<font color=""orange"">**亲爱的同学好~**</font>
快币需要充值才可以获得，在快手 App 内，所有用户可以依次点击首页的「菜单-更多-我的钱包-充值快币」按钮进入充值快币页，
在直播间内，所有用户可以点击右下角的「礼物」图标按钮，点击礼物面板上的「充值」按钮进入充值快币页。"
如何修改 Kim 个人页地址,"个人页,个人页地址,修改个人页,kim个人页",怎样修改Kim个人页位址|怎样改正Kim个人页地址|怎样更改Kim个人页地址|怎么修改Kim个人页地址|怎样修改Kim个人页地址|如何改正Kim个人页地址|想改正Kim个人页地址|想修改Kim个人页地址|kim变更地址信息|kim更改地址信息|kim 地址|Kim 修改地址信息|kim 修改地址信息,"<font color=""orange"">**亲爱的同学好~**</font>
Kim 设置-个人资料，可以编辑修改昵称/地址/状态哦。"
为什么直播间不显示礼物特效,礼物特效,不显示礼物特效,"<font color=""orange"">**亲爱的同学好~**</font>
直播间点击更多-直播间设置-礼物特效确认是否开启，
确认是否连接过wifi网络，如果未连接过，请连接wifi后再试（礼物特效素材下载）。"
直播粉条消耗慢怎么办,粉条消耗慢,直播间因质量问题被过滤|直播粉条投不出去|直播粉条投放效果差|直播粉条进人少,"<font color=""orange"">**亲爱的同学好~**</font>
**按照以下可能原因逐一排查：**
**1.投放中途主播/直播间风控负向：**
a.先在璇玑看是否负向（负向是因为内容原因（比如录播/裸聊这种）），如果在璇玑系统查不到，再去审核中心查询审核日志，有负向暂无法自行回捞，
负向问题<@=username(sqaqwyh-xms)=>，进群回捞：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671652858199168.png)
b.如果不能购买的原因提示内容低质无法推广，是直播间被风控拦截，风控是因为安全原因（比如作弊、黑产、欺诈），在【粉条*风控对接群】根据群公告进行客诉登记以及加白申请，
风控问题<@=username(yewuanquan)=>，进群加白：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671652858171788.png)
**2.直播间因质量问题被过滤：**
a.直播处罚中  b.直播频控  c.低星级小店（低于3.5星）  d.商家对应的投放用户未成年  e.低商品质量分  f.聊天室直播间；
**3.如「基础投放-手动出价」投放，无以上问题，仍投不出去，有可能是出价过低：**
a.使用【直播省心投】或者【基础投放-智能出价】投放；
b. 「数据中心」查看该主播以往的投放数据，调整出价；
注：调价需要下线之前的计划，并提高出价新建计划。
具体可查询[FAQ文档](https://docs.corp.kuaishou.com/d/home/fcADq4arWXM06Xww3MylbHEA0)。"
